"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,22,90,"B09F3RWXXL",true,799,"INR",1875,1076,57.39,16,3.8,"https://www.amazon.in/dp/B09F3RWXXL","60.80",false,false,false,true,"Sponsored Ad - bellamy Cotton Robes,Housecoat, Nighty, Sleepwear, Night Gown for Women Ladies House Coat, Front Open Adjus...","https://m.media-amazon.com/images/I/71YwEFXXWTL._AC_UL400_.jpg"
2,23,91,"B08ZNNY1J3",true,1229,"INR",2699,1470,54.46,825,4.1,"https://www.amazon.in/dp/B08ZNNY1J3","3382.50",false,false,false,true,"Sponsored Ad - Real Basics Women's Cotton Animal Print Pajama Set Pack of 2","https://m.media-amazon.com/images/I/71k-6jXuR8L._AC_UL400_.jpg"
2,24,92,"B08N4WNKC4",true,499,"INR",2299,1800,78.29,2532,4,"https://www.amazon.in/dp/B08N4WNKC4","10128.00",false,false,true,true,"Sponsored Ad - Uptownie Lite Women's Maxi Jumpsuit","https://m.media-amazon.com/images/I/710g84vcfoL._AC_UL400_.jpg"
2,25,93,"B0966P4D8F",true,199,"INR",699,500,71.53,1,1,"https://www.amazon.in/dp/B0966P4D8F","1.00",false,false,false,true,"SRS Boho Headbands, Cross Wraps Headbands for Women & Girls Cloth Fabric Headbands (Pack of 6)","https://m.media-amazon.com/images/I/719muHeYLQL._AC_UL400_.jpg"
2,26,94,"B07J58TTHK",true,1210,"INR",1299,89,6.85,866,4.1,"https://www.amazon.in/dp/B07J58TTHK","3550.60",false,false,false,true,"Van Heusen Athleisure Gym Joggers","https://m.media-amazon.com/images/I/61QUxMBTi8L._AC_UL400_.jpg"
2,27,95,"B0BLF2NJMY",true,599,"INR",1200,601,50.08,1,2,"https://www.amazon.in/dp/B0BLF2NJMY","2.00",false,false,false,true,"Womens top and Shirt,Fabric :Summer Cool,Color:White","https://m.media-amazon.com/images/I/31IW8xkDimL._AC_UL400_.jpg"
2,28,96,"B09B2LBG7Q",true,429,"INR",3999,3570,89.27,5257,3.7,"https://www.amazon.in/dp/B09B2LBG7Q","19450.90",false,false,false,false,"Lymio Women's Regular Top","https://m.media-amazon.com/images/I/8195AL1XsuL._AC_UL400_.jpg"
2,29,97,"B08FS3Z1GS",true,553.36,"INR",1999,1445.64,72.32,1464,4.2,"https://www.amazon.in/dp/B08FS3Z1GS","6148.80",false,false,false,true,"Amazon Brand - Symbol Women Winter Track Pants","https://m.media-amazon.com/images/I/71nxKSONz7L._AC_UL400_.jpg"
2,30,98,"B0BYS2FK3K",true,449,"INR",999,550,55.06,8,5,"https://www.amazon.in/dp/B0BYS2FK3K","40.00",false,false,false,false,"HSR Winter Warm Leggings Women(26 to 34 Waist) Elastic Stretchable Thermal Legging Pants Fleece Lined Thick Tights","https://m.media-amazon.com/images/I/518hP4Lr2BL._AC_UL400_.jpg"
2,31,99,"B07YR2SVYS",true,698,"INR",1299,601,46.27,2645,4.3,"https://www.amazon.in/dp/B07YR2SVYS","11373.50",false,false,false,true,"Alexvyan Thick Fur Lined Warm Slim Fit Women Winter Thermal Soft Fleece Legging","https://m.media-amazon.com/images/I/41kY+dxDpzL._AC_UL400_.jpg"
2,32,100,"B0BM44513G",true,894,"INR",1999,1105,55.28,18,3.6,"https://www.amazon.in/dp/B0BM44513G","64.80",false,false,false,true,"Cloth Bites Designer Regular Rayon Anarkali Kurti with 3/4th Sleeves Fully Stitched for Womens","https://m.media-amazon.com/images/I/71t+Vzp+g0L._AC_UL400_.jpg"
2,33,101,"B09Z7YW437",true,719,"INR",2599,1880,72.34,620,3.4,"https://www.amazon.in/dp/B09Z7YW437","2108.00",false,false,false,true,"Sun Fashion And Lifestyle Women's Ikkat Cotton Unstitched Salwar Suit Dress Material, 2 Mtr Cotton Salwar, Stylish Ikkat D...","https://m.media-amazon.com/images/I/51KpCwdDLnL._AC_UL400_.jpg"
2,34,102,"B08YKG8C1F",true,199,"INR",599,400,66.78,415,3.3,"https://www.amazon.in/dp/B08YKG8C1F","1369.50",false,false,false,false,"Women's Cotton Non-padded Wire Free Plunge Bra","https://m.media-amazon.com/images/I/716WhgcHSzL._AC_UL400_.jpg"
2,35,103,"B095CK5J3C",true,579,"INR",1299,720,55.43,463,4.1,"https://www.amazon.in/dp/B095CK5J3C","1898.30",false,false,false,true,"Alan Jones Clothing Women's Slim Fit Poly Cotton Track Pant","https://m.media-amazon.com/images/I/51n3JHm4lzS._AC_UL400_.jpg"
2,36,104,"B0BXV1VBTH",false,99,"INR",0,0,0,27,4.3,"https://www.amazon.in/dp/B0BXV1VBTH","116.10",false,false,false,false,"CHIMMET Double Sided Tape for Fashion and Body Tape for Clothes Fashion Dressing Tape/Invisible Double-sided Body Tape, Cl...","https://m.media-amazon.com/images/I/714C1rTugbL._AC_UL400_.jpg"
2,38,106,"B09LR887JX",true,765,"INR",1299,534,41.11,14,3.6,"https://www.amazon.in/dp/B09LR887JX","50.40",false,false,false,true,"Clovia Women's Snug Fit Active High Rise Tights - Green","https://m.media-amazon.com/images/I/51U6F8QqVgL._AC_UL400_.jpg"
2,40,108,"B0BC9445H5",true,399,"INR",1999,1600,80.04,38,3.7,"https://www.amazon.in/dp/B0BC9445H5","140.60",false,false,false,false,"TRASA Women's Tech Stretch Short-Sleeve Round-Neck Gym Sports T-Shirt - Available Sizes - S, M, L, XL, 2XL, 3XL","https://m.media-amazon.com/images/I/81kyZgaDCVL._AC_UL400_.jpg"
2,41,109,"B08L9D3G52",true,399,"INR",1199,800,66.72,2340,3.7,"https://www.amazon.in/dp/B08L9D3G52","8658.00",false,false,false,false,"Fabricorn Stylish Plain Green Long Sleeve Cotton Tshirt for Women (Green)","https://m.media-amazon.com/images/I/71bxu0tQh1L._AC_UL400_.jpg"
