"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,57,72,"B07C97884R",true,556,"INR",2999,2443,81.46,27056,4,"https://www.amazon.in/dp/B07C97884R","108224.00",false,false,true,true,"Sponsored Ad - minicult Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack ...","https://m.media-amazon.com/images/I/71G6UQ0ZUeL._AC_UL400_.jpg"
1,58,73,"B07J9WGZPX",true,949,"INR",2999,2050,68.36,963,4,"https://www.amazon.in/dp/B07J9WGZPX","3852.00",false,false,false,true,"Sponsored Ad - AJ DEZINES® Kids Festive Sherwani for Boys","https://m.media-amazon.com/images/I/81E0ILKV4kL._AC_UL400_.jpg"
1,59,74,"B0BGDSFRSH",true,499,"INR",1299,800,61.59,18,4.3,"https://www.amazon.in/dp/B0BGDSFRSH","77.40",false,false,false,true,"Sponsored Ad - SATPURUSH Boys Cotton Blazer Style Formal Shirt and Pant Set with Bow Tie (pack of 1)","https://m.media-amazon.com/images/I/41gqwV2g5KL._AC_UL400_.jpg"
1,60,75,"B0BGGZ3TJ3",true,399,"INR",749,350,46.73,92,4.3,"https://www.amazon.in/dp/B0BGGZ3TJ3","395.60",false,false,false,false,"Sponsored Ad - Real Basics Cotton Clothing Sets for Boys & girls - Unisex Clothing sets Full Sleeve T-shirt Pant & Cap","https://m.media-amazon.com/images/I/71x41aAMf9L._AC_UL400_.jpg"
2,9,76,"B08V1N5V7G",true,355,"INR",899,544,60.51,908,3.9,"https://www.amazon.in/dp/B08V1N5V7G","3541.20",false,false,false,true,"Piku Store Kids Full Sleeves T-Shirt & Lower Set","https://m.media-amazon.com/images/I/71HG6pVJ3xL._AC_UL400_.jpg"
2,10,77,"B09WZ2451D",false,325,"INR",0,0,0,173,4,"https://www.amazon.in/dp/B09WZ2451D","692.00",false,false,false,false,"ARIEL Cotton Clothing Sets for Baby Boys & girls - Unisex Clothing sets Full Sleeve T-shirt & Pant","https://m.media-amazon.com/images/I/81mA+HI6EFL._AC_UL400_.jpg"
2,11,78,"B07QTG1QRJ",true,559,"INR",1999,1440,72.04,2938,3.7,"https://www.amazon.in/dp/B07QTG1QRJ","10870.60",false,false,false,true,"Bold N Elegant Cool Printed Bear Cartoon Printed Little Boy Girl Baby Clothing Set Highwaist Stripe Pyjama Tshirt Pant Set...","https://m.media-amazon.com/images/I/51+pCYqU4iL._AC_UL400_.jpg"
2,12,79,"B09752HJNP",true,660,"INR",1199,539,44.95,35,3.1,"https://www.amazon.in/dp/B09752HJNP","108.50",false,false,false,true,"Hopscotch Girls Short Set","https://m.media-amazon.com/images/I/513NrbkBsuL._AC_UL400_.jpg"
2,14,81,"B07P7QM8SF",true,609,"INR",1149,540,47,519,3.6,"https://www.amazon.in/dp/B07P7QM8SF","1868.40",false,false,false,true,"Hopscotch Girls Polyester Floral Print Blouse and Shorts Set in Yellow Color","https://m.media-amazon.com/images/I/61GaZMwXLIL._AC_UL400_.jpg"
2,15,82,"B097789WXT",true,569,"INR",2499,1930,77.23,44,4,"https://www.amazon.in/dp/B097789WXT","176.00",false,false,false,true,"Wish Karo Cotton Clothing Sets For Baby Boys-(bt76nw)","https://m.media-amazon.com/images/I/51F-lv2DsLS._AC_UL400_.jpg"
2,16,83,"B09MLMSV8B",false,350,"INR",0,0,0,20,3.6,"https://www.amazon.in/dp/B09MLMSV8B","72.00",false,false,false,false,"Fareto Baby's Cotton Blend, Cotton T-Shirt and Pants Set","https://m.media-amazon.com/images/I/71qqg8WgerL._AC_UL400_.jpg"
2,17,84,"B09MFRD6QW",true,1599,"INR",2999,1400,46.68,46,4.1,"https://www.amazon.in/dp/B09MFRD6QW","188.60",false,false,false,true,"Bold N Elegant 3D Fur Reindeer Cartoon Thick Winter Warm T-shirt Pant with Hood Jacket 3 Pc Clothing Set for Infant Toddle...","https://m.media-amazon.com/images/I/41LEvbV2aRL._AC_UL400_.jpg"
2,18,85,"B0BTMHYCCN",true,1653,"INR",1929,276,14.31,1,4,"https://www.amazon.in/dp/B0BTMHYCCN","4.00",false,false,false,true,"Hopscotch Boys Formal Set","https://m.media-amazon.com/images/I/614gLIRrffL._AC_UL400_.jpg"
2,19,86,"B01N128OAO",true,475,"INR",599,124,20.7,1215,4,"https://www.amazon.in/dp/B01N128OAO","4860.00",false,false,false,false,"Babyblossom Baby Kid's Cotton Combo Pack Of 3 Clothing Set ( 3 Top And 3 Bottom) (1112,Multicolor,0-3 Months)","https://m.media-amazon.com/images/I/81RUjX3vx6L._AC_UL400_.jpg"
2,20,87,"B08HL1K1T6",true,769,"INR",1429,660,46.19,311,3.9,"https://www.amazon.in/dp/B08HL1K1T6","1212.90",false,false,false,true,"Hopscotch Boys Cotton and Spandex Pant set","https://m.media-amazon.com/images/I/512H2YhjgDL._AC_UL400_.jpg"
2,22,88,"B07C97884R",true,556,"INR",2999,2443,81.46,27056,4,"https://www.amazon.in/dp/B07C97884R","108224.00",false,false,true,true,"Sponsored Ad - minicult Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack ...","https://m.media-amazon.com/images/I/71G6UQ0ZUeL._AC_UL400_.jpg"
2,23,89,"B07J9WGZPX",true,949,"INR",2999,2050,68.36,963,4,"https://www.amazon.in/dp/B07J9WGZPX","3852.00",false,false,false,true,"Sponsored Ad - AJ DEZINES® Kids Festive Sherwani for Boys","https://m.media-amazon.com/images/I/81E0ILKV4kL._AC_UL400_.jpg"
2,24,90,"B085TJHN29",true,499,"INR",799,300,37.55,90,3.9,"https://www.amazon.in/dp/B085TJHN29","351.00",false,false,false,false,"Sponsored Ad - Kids Printed Clothing Sets (Pack of 6)","https://m.media-amazon.com/images/I/61WQtnISb6L._AC_UL400_.jpg"
2,25,91,"B09G6YW9B1",true,1251,"INR",2275,1024,45.01,1,5,"https://www.amazon.in/dp/B09G6YW9B1","5.00",false,false,false,true,"Cutecumber Girls Silk Embellished Green Ethnic Set with Potli Bag. CC5225AB-GREEN","https://m.media-amazon.com/images/I/61lY8fKXpkL._AC_UL400_.jpg"
2,26,92,"B076GX92TN",true,699,"INR",1999,1300,65.03,13368,4,"https://www.amazon.in/dp/B076GX92TN","53472.00",false,false,false,true,"NammaBaby Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5)","https://m.media-amazon.com/images/I/61PRmZPH96L._AC_UL400_.jpg"
2,27,93,"B0BRKXTFPR",true,529,"INR",999,470,47.05,34,3.1,"https://www.amazon.in/dp/B0BRKXTFPR","105.40",false,false,false,true,"HIKUJ 2pcs Baby Boy Dress Clothes Toddler Outfits Infant Tuxedo Formal Suits for Kids Long Sleeve Shirt + Pants Set","https://m.media-amazon.com/images/I/61Zy04j33KL._AC_UL400_.jpg"
2,28,94,"B0B4PP4RWB",true,459,"INR",1199,740,61.72,6,3.7,"https://www.amazon.in/dp/B0B4PP4RWB","22.20",false,false,false,false,"Bold N Elegant Little Astronaut Rocket Space Fun Kids Sleeveless T-shirt & Shorts Summer Clothing Set for Little Boys & Girls","https://m.media-amazon.com/images/I/51DzJjth00L._AC_UL400_.jpg"
2,30,96,"B096DYL4CV",true,545,"INR",1400,855,61.07,458,3.9,"https://www.amazon.in/dp/B096DYL4CV","1786.20",false,false,false,true,"Sponsored Ad - Googo Gaaga Boy's T-Shirt","https://m.media-amazon.com/images/I/514ftDnqfvL._AC_UL400_.jpg"
2,33,98,"B07G36ZWDV",true,659,"INR",1479,820,55.44,9365,4.1,"https://www.amazon.in/dp/B07G36ZWDV","38396.50",false,false,false,true,"Hopscotch Boys Cotton and Spandex Formal Set","https://m.media-amazon.com/images/I/511wuGpCVjL._AC_UL400_.jpg"
2,34,99,"B07VV4HCVJ",true,498,"INR",1399,901,64.4,983,4,"https://www.amazon.in/dp/B07VV4HCVJ","3932.00",false,false,false,true,"babeezworld Dungaree for Boys & Girls Casual Printed Pure Cotton-Pack of 2 (Multicolour)","https://m.media-amazon.com/images/I/71jhAyIssVL._AC_UL400_.jpg"
2,35,100,"B09N7RW72W",true,799,"INR",1400,601,42.93,234,3.9,"https://www.amazon.in/dp/B09N7RW72W","912.60",false,false,false,true,"GOOGO GAAGA Baby Boy Cotton Track Suit","https://m.media-amazon.com/images/I/51bLq6SVCqL._AC_UL400_.jpg"
2,36,101,"B096DYH6XJ",true,545,"INR",1400,855,61.07,458,3.9,"https://www.amazon.in/dp/B096DYH6XJ","1786.20",false,false,false,true,"Googo Gaaga Boy's T-Shirt","https://m.media-amazon.com/images/I/514ftDnqfvL._AC_UL400_.jpg"
2,38,103,"B08JCQWPKH",true,254,"INR",659,405,61.46,286,4.1,"https://www.amazon.in/dp/B08JCQWPKH","1172.60",false,false,false,false,"TOONYPORT Cotton Baby Boy Kidswear Half Sleeve Top Bottom Clothing Set","https://m.media-amazon.com/images/I/81l+BI+L5hL._AC_UL400_.jpg"
2,39,104,"B097RSS6NL",true,540,"INR",1009,469,46.48,142,3.7,"https://www.amazon.in/dp/B097RSS6NL","525.40",false,false,false,true,"Hopscotch Boys Cotton Stripes Bear Print Half Sleeves T-Shirt and Pant Set in Navy Color","https://m.media-amazon.com/images/I/51YB2gfh9sL._AC_UL400_.jpg"
2,40,105,"B0B8NVF8JC",true,599,"INR",1450,851,58.69,13,3.3,"https://www.amazon.in/dp/B0B8NVF8JC","42.90",false,false,false,false,"Children Kids Outfits Clothes Girls Teen Letter T Shirt Tops + Ruffle pleated palazzo Sets for 6-16 Years Old","https://m.media-amazon.com/images/I/51zTOYPF4OL._AC_UL400_.jpg"
2,41,106,"B0C3MFTPDQ",true,199,"INR",309,110,35.6,11,4.5,"https://www.amazon.in/dp/B0C3MFTPDQ","49.50",false,false,false,false,"LuvLap Half Sleeve Boys T-Shirt & Shorts Sets","https://m.media-amazon.com/images/I/61XgH+86KYL._AC_UL400_.jpg"
2,44,109,"B0BW98G3B2",true,399,"INR",699,300,42.92,1,5,"https://www.amazon.in/dp/B0BW98G3B2","5.00",false,false,false,false,"Jaganath Creations Printed Half Sleeve Dress for Baby Boy | Hosiery Cotton T-Shirt and Short Set","https://m.media-amazon.com/images/I/51OKN9r6qRL._AC_UL400_.jpg"
2,45,110,"B07TQ3FR21",false,1249,"INR",0,0,0,115,3.9,"https://www.amazon.in/dp/B07TQ3FR21","448.50",false,false,false,false,"NammaBaby New Born Baby Combo Set Cotton Front Open Full Sleeves Vest- Tshirt Jhabla (6PC) and Unisex Kid's Pajama with Bo...","https://m.media-amazon.com/images/I/61UVZ1ZmKjL._AC_UL400_.jpg"
2,46,111,"B0BDZ2FX3T",true,649,"INR",1999,1350,67.53,43,4.1,"https://www.amazon.in/dp/B0BDZ2FX3T","176.30",false,false,false,true,"Bold N Elegant Floral Embroidered Cotton Sleeveless Ruffle Top and Shorts Clothing Set for Infant Toddler Baby Girl","https://m.media-amazon.com/images/I/31HTZN9kR4L._AC_UL400_.jpg"
2,47,112,"B08WKC8SDF",true,594,"INR",1199,605,50.46,8367,4.3,"https://www.amazon.in/dp/B08WKC8SDF","35978.10",false,false,false,true,"Kuchipoo Unisex Regular;Relaxed Pyjama Pants pack of 5","https://m.media-amazon.com/images/I/71HtxgL0qRL._AC_UL400_.jpg"
2,48,113,"B081YXGLDJ",true,389,"INR",1999,1610,80.54,223,3.6,"https://www.amazon.in/dp/B081YXGLDJ","802.80",false,false,false,false,"DHRUVI TRENDZ Designer Slub Cotton Fully Stitched Anarklai Kurti for Women & Girls on Jeans Palazzo or Skirt (Plus Size Up...","https://m.media-amazon.com/images/I/71qWM4H3dQL._AC_UL400_.jpg"
2,49,114,"B081WX369W",true,799,"INR",1400,601,42.93,672,3.9,"https://www.amazon.in/dp/B081WX369W","2620.80",false,false,false,true,"Googo Gaaga Boys Cotton Track Suit","https://m.media-amazon.com/images/I/31zTx4VIh8L._AC_UL400_.jpg"
